RESERVES;Austria;;;;;Belgium;;;;;Bulgaria;;;;;Croatia;;;;;Cyprus;;;;;Czech Republic;;;;;Denmark;;;;;Estonia;;;;;Finland;;;;;France;;;;;Germany;;;;;Greece;;;;;Hungary;;;;;Ireland;;;;;Italy;;;;;Latvia;;;;;Lithuania;;;;;Luxembourg;;;;;Malta;;;;;Netherlands;;;;;Poland;;;;;Portugal;;;;;Romania;;;;;Slovakia;;;;;Slovenia;;;;;Spain;;;;;Sweden;;;;;United Kingdom;;;;
2007-03-31;288,73;6143;7519;13662;;227,64;4843;8683;13527;;39,78;846;11112;11958;;0,00;0;12679;12679;;14,47;308;4485;4793;;13,45;286;31447;31733;;66,55;1416;31303;32719;;0,25;5;2784;2789;;49,14;1046;6347;7393;;2688,91;57209;43904;101113;;3422,51;72817;41683;114500;;111,94;2382;584;2965;;3,08;65;22568;22633;;5,47;116;758;874;;2451,84;52165;27121;79286;;7,74;165;4479;4644;;5,78;123;5521;5644;;2,30;49;209;258;;0,19;4;2817;2821;;640,94;13637;10415;24051;;102,89;2189;48579;50768;;382,57;8140;2089;10228;;104,69;2227;28672;30900;;35,12;747;15855;16603;;3,19;68;1069;1137;;376,94;8020;10660;18680;;156,20;3323;25356;28680;;310,25;6601;43434;50035;
2007-06-30;284,75;5955;7760;13716;;227,64;4761;8723;13484;;39,78;832;12089;12921;;0,00;0;12350;12350;;14,47;303;5178;5481;;13,41;281;31014;31295;;66,55;1392;31183;32575;;0,25;5;2806;2811;;49,14;1028;6202;7229;;2667,10;55780;43082;98862;;3420,58;71539;43265;114803;;112,10;2344;485;2830;;3,08;64;22774;22838;;5,60;117;727;844;;2451,84;51278;29510;80789;;7,74;162;4768;4930;;5,78;121;6018;6139;;2,30;48;211;260;;0,19;4;2751;2755;;640,94;13405;9972;23377;;102,89;2152;52286;54437;;382,57;8001;1850;9851;;104,66;2189;29663;31852;;35,12;734;16870;17605;;3,19;67;1093;1159;;306,49;6410;10990;17400;;153,40;3208;26103;29311;;310,26;6489;42356;48845;
2007-09-30;279,99;6688;9600;16289;;227,64;5438;9726;15164;;39,78;950;15653;16604;;0,00;0;12466;12466;;14,47;346;5458;5804;;13,35;319;32553;32872;;66,55;1590;34362;35952;;0,25;6;3449;3455;;49,14;1174;6971;8145;;2642,53;63125;49415;112540;;3417,37;81635;44556;126191;;112,19;2680;701;3381;;3,08;73;23293;23367;;5,47;131;784;914;;2451,84;58570;29674;88244;;7,74;185;5242;5427;;5,78;138;6515;6653;;2,30;55;242;297;;0,19;4;2995;2999;;640,94;15311;10309;25620;;102,89;2458;55860;58318;;382,57;9139;1150;10289;;104,66;2500;35740;38240;;35,12;839;17680;18519;;3,19;76;1068;1144;;281,61;6727;11031;17759;;150,70;3600;27316;30916;;310,26;7412;43104;50516;
2007-12-31;279,99;7505;10689;18194;;227,61;6101;10384;16485;;39,79;1067;16478;17545;;0,00;0;13675;13675;;14,47;388;6119;6507;;13,34;358;34550;34907;;66,55;1784;32534;34318;;0,25;7;3263;3269;;49,14;1317;7063;8380;;2603,06;69777;45710;115487;;3417,37;91606;44327;135932;;112,53;3017;631;3648;;3,08;82;23970;24052;;5,47;147;779;925;;2451,84;65724;28385;94109;;7,74;207;5553;5761;;5,79;155;7557;7712;;2,30;62;144;205;;0,50;13;3785;3799;;621,44;16658;10270;26928;;102,89;2758;62967;65725;;382,54;10254;1258;11512;;103,71;2780;37194;39974;;35,12;941;18032;18973;;3,19;86;980;1065;;281,61;7549;11480;19029;;148,80;3989;27044;31033;;310,26;8317;48958;57275;
2008-03-31;279,99;8403;10955;19359;;227,58;6830;10703;17534;;39,82;1195;17955;19151;;0,00;0;15545;15545;;13,87;416;947;1364;;13,24;397;37571;37968;;66,55;1997;36991;38988;;0,25;7;3695;3702;;49,14;1475;7651;9126;;2568,35;77084;49650;126734;;3417,37;102566;47399;149965;;112,78;3385;385;3770;;3,08;92;26516;26608;;6,00;180;766;947;;2451,84;73587;29469;103056;;7,74;232;6300;6532;;5,79;174;6975;7149;;2,30;69;660;729;;0,19;6;678;684;;621,44;18651;11692;30343;;102,89;3088;73853;76941;;382,54;11481;1569;13050;;103,71;3113;39798;42911;;35,12;1054;18984;20037;;3,20;96;1124;1220;;281,61;8452;12030;20482;;146,60;4400;27735;32135;;310,26;9312;50670;59982;
2008-06-30;279,99;8374;11069;19443;;227,55;6806;9849;16655;;39,56;1183;19680;20863;;0,00;0;15676;15676;;13,87;415;851;1266;;13,23;396;37691;38087;;66,55;1990;33263;35253;;0,25;7;4053;4060;;49,14;1470;7139;8609;;2549,35;76247;45892;122139;;3413,11;102081;47754;149835;;112,90;3377;376;3753;;3,08;92;27273;27365;;6,00;180;778;957;;2451,84;73331;32609;105939;;7,74;231;6303;6534;;5,80;173;7219;7393;;2,27;68;509;577;;0,19;6;602;608;;621,44;18586;11062;29649;;102,92;3078;79445;82524;;382,54;11441;1603;13044;;103,71;3102;39398;42499;;35,12;1050;18865;19915;;3,20;96;989;1084;;281,61;8422;11588;20011;;144,00;4307;26667;30974;;310,26;9279;48506;57785;
2008-09-30;279,99;7962;9875;17838;;227,52;6470;8713;15183;;39,83;1133;19965;21098;;0,00;0;14051;14051;;13,87;394;962;1357;;13,13;373;35936;36310;;66,55;1892;29472;31364;;0,25;7;3682;3689;;49,14;1398;6931;8328;;2527,54;71877;41493;113370;;3412,58;97046;44522;141568;;113,00;3213;306;3520;;3,08;87;24939;25026;;6,00;171;761;932;;2451,84;69724;34493;104217;;7,74;220;6022;6242;;5,80;165;6320;6485;;2,27;65;656;721;;0,19;5;494;499;;621,44;17672;11636;29308;;102,92;2927;71247;74174;;382,54;10878;1409;12288;;103,71;2949;37428;40377;;35,12;999;17512;18511;;3,20;91;922;1013;;281,61;8008;11623;19632;;140,70;4001;34004;38005;;310,26;8823;42384;51207;
2008-12-31;279,99;7829;8912;16741;;227,52;6362;9318;15681;;39,87;1115;16816;17930;;0,00;0;12957;12957;;13,87;388;617;1005;;13,13;367;36655;37022;;66,55;1861;40466;42327;;0,25;7;3965;3972;;49,14;1374;6979;8354;;2492,15;69689;33617;103306;;3412,58;95427;43137;138564;;112,50;3146;344;3490;;3,08;86;33788;33874;;6,00;168;871;1039;;2451,84;68562;37088;105649;;7,74;216;5028;5244;;5,81;162;6280;6443;;2,27;63;335;398;;0,18;5;368;373;;612,45;17126;11476;28603;;102,92;2878;59306;62184;;382,54;10697;1309;12006;;103,71;2900;36868;39768;;35,12;982;17854;18836;;3,20;90;868;958;;281,61;7875;12414;20288;;137,00;3831;25896;29727;;310,26;8676;44348;53024;
2009-03-31;279,99;8250;6493;14743;;227,52;6704;9537;16241;;39,88;1175;14546;15721;;0,00;0;11685;11685;;13,87;409;551;960;;13,13;387;36481;36867;;66,55;1961;45791;47752;;0,25;7;3519;3526;;49,14;1448;6782;8230;;2452,77;72274;25163;97437;;3412,58;100557;42702;143258;;112,38;3311;285;3596;;3,08;91;36923;37013;;5,47;161;795;956;;2451,84;72247;35752;107999;;7,74;228;4179;4407;;5,82;171;5516;5687;;2,27;67;350;417;;0,48;14;383;397;;612,45;18047;11058;29105;;102,92;3033;58200;61233;;382,54;11272;1213;12485;;103,71;3056;33392;36448;;31,79;937;242;1179;;3,19;94;707;801;;281,61;8298;12529;20827;;133,60;3937;23854;27790;;310,25;9142;39931;49073;
2009-06-30;279,99;8412;6167;14580;;227,52;6836;9927;16763;;39,88;1198;15604;16802;;0,00;0;12735;12735;;13,87;417;588;1005;;13,02;391;38051;38442;;66,55;1999;61458;63458;;0,25;7;3782;3789;;49,14;1477;7571;9047;;2445,55;73477;29043;102520;;3408,29;102403;44851;147254;;112,38;3376;390;3766;;3,08;92;37895;37987;;6,00;180;944;1124;;2451,84;73666;37593;111259;;7,74;232;3710;3942;;5,82;175;5996;6171;;2,27;68;375;443;;0,48;14;497;511;;612,45;18401;11735;30136;;102,92;3092;63994;67086;;382,51;11492;1135;12628;;103,72;3116;37370;40486;;31,79;955;130;1085;;3,20;96;666;762;;281,61;8461;12880;21341;;131,00;3936;36427;40363;;310,25;9322;45082;54404;
2009-09-30;279,99;8964;8636;17600;;227,52;7284;16308;23592;;39,89;1277;16865;18142;;0,00;0;13582;13582;;13,87;444;787;1231;;12,91;413;40684;41097;;66,55;2131;76139;78270;;0,25;8;3605;3613;;49,14;1573;9334;10907;;2435,41;77968;45167;123135;;3407,64;109093;61328;170422;;112,41;3599;1486;5085;;3,08;98;44683;44781;;6,00;192;2054;2246;;2451,84;78494;47423;125917;;7,74;248;6455;6703;;5,82;186;6361;6548;;2,27;73;753;826;;0,48;15;501;516;;612,45;19607;19540;39147;;102,91;3295;74836;78131;;382,51;12246;2387;14633;;103,72;3321;41565;44886;;31,79;1018;703;1720;;3,20;103;1000;1103;;281,61;9016;17736;26752;;125,72;4025;43066;47091;;310,25;9933;57523;67455;
2009-12-31;279,99;9790;8114;17904;;227,52;7955;15907;23862;;39,89;1395;17127;18522;;0,00;0;14895;14895;;13,87;485;796;1281;;12,91;451;41157;41608;;66,55;2327;74291;76618;;0,25;9;3972;3981;;49,14;1718;9711;11429;;2435,41;85152;46633;131786;;3406,77;119115;59925;179040;;112,44;3931;1555;5486;;3,08;108;44074;44181;;6,00;210;1941;2151;;2451,84;85727;45770;131497;;7,74;270;6632;6902;;5,82;203;6420;6623;;2,24;78;731;809;;0,18;6;532;539;;612,45;21414;17871;39284;;102,91;3598;75923;79522;;382,51;13374;2455;15829;;103,72;3626;40757;44383;;31,79;1111;692;1804;;3,20;112;966;1078;;281,61;9846;18205;28051;;125,72;4396;42860;47255;;310,25;10848;55702;66550;
2010-03-31;279,99;10042;8091;18132;;227,52;8160;16161;24321;;39,89;1431;15072;16503;;0,00;0;13472;13472;;13,87;498;676;1174;;12,80;459;39250;39709;;66,55;2387;73725;76111;;0,25;9;3574;3583;;49,14;1762;9354;11117;;2435,41;87345;48072;135416;;3406,77;122182;60205;182387;;112,31;4028;1479;5507;;3,08;110;45430;45540;;6,00;215;1825;2040;;2451,84;87934;45172;133105;;7,74;277;7237;7514;;5,82;209;6206;6415;;2,24;80;716;796;;0,18;7;485;492;;612,45;21965;18464;40430;;102,92;3691;81554;85245;;382,51;13718;2698;16417;;103,72;3720;43133;46853;;31,79;1140;695;1835;;3,20;115;861;976;;281,61;10100;18148;28248;;125,72;4509;42089;46597;;310,25;11127;57628;68755;
2010-06-30;279,99;11198;8166;19364;;227,52;9100;16553;25653;;39,89;1595;13324;14919;;0,00;0;12569;12569;;13,87;555;612;1167;;12,70;508;37187;37694;;66,55;2662;76503;79165;;0,25;10;3513;3523;;49,14;1966;8003;9969;;2435,41;97406;45602;143008;;3406,77;136257;61246;197503;;111,79;4471;1240;5711;;3,08;123;42848;42971;;6,00;240;1813;2053;;2451,84;98063;46225;144288;;7,74;309;6549;6858;;5,82;233;5387;5620;;2,24;90;682;772;;0,10;4;352;356;;612,45;24496;17547;42042;;102,92;4116;81347;85464;;382,51;15299;3061;18360;;103,72;4148;38790;42938;;31,79;1271;687;1959;;3,20;128;902;1030;;281,61;11263;18632;29896;;125,72;5028;47792;52821;;310,25;12409;61177;73586;
2010-09-30;279,99;11766;9329;21094;;227,49;9559;17110;26669;;39,89;1676;15740;17416;;0,00;0;15171;15171;;13,87;583;561;1144;;12,70;534;43454;43988;;66,55;2796;83641;86437;;0,25;10;3095;3106;;49,14;2065;8015;10080;;2435,41;102339;52186;154525;;3401,79;142948;62376;205324;;111,66;4692;1301;5993;;3,08;129;45783;45912;;6,00;252;1930;2182;;2451,84;103030;47975;151004;;7,74;325;7632;7957;;5,82;244;6359;6604;;2,24;94;728;823;;0,20;8;550;558;;612,45;25736;19039;44775;;102,92;4325;94294;98619;;382,51;16073;3943;20016;;103,72;4358;44483;48841;;31,79;1336;716;2052;;3,20;135;918;1053;;281,61;11834;19030;30864;;125,72;5283;46515;51798;;310,25;13037;67238;80275;
2010-12-31;279,99;12652;9589;22242;;227,49;10280;16499;26779;;39,89;1803;15421;17223;;0,00;0;14133;14133;;13,87;627;515;1142;;12,70;574;41909;42483;;66,55;3007;73503;76510;;0,25;11;2556;2567;;49,14;2221;7327;9547;;2435,41;110052;55800;165852;;3400,95;153683;62295;215978;;111,60;5043;1309;6352;;3,08;139;44849;44988;;6,00;271;1843;2114;;2451,84;110794;47684;158478;;7,74;350;7256;7606;;5,82;263;6336;6598;;2,24;101;747;848;;0,10;4;536;540;;612,45;27676;18471;46147;;102,92;4651;88822;93472;;382,51;17285;3652;20937;;103,72;4687;43361;48048;;31,79;1436;719;2156;;3,18;144;927;1071;;281,61;12725;19146;31872;;125,72;5681;42565;48246;;310,25;14020;68345;82365;
2011-03-31;279,99;12954;10751;23705;;227,49;10525;17776;28301;;39,89;1846;15511;17357;;0,00;0;16082;16082;;13,87;642;538;1180;;12,61;584;41821;42405;;66,55;3079;82964;86042;;0,25;12;221;232;;49,14;2274;8190;10464;;2435,41;112675;60966;173641;;3400,95;157346;64757;222103;;111,47;5157;1346;6503;;3,08;142;50597;50739;;6,00;278;1818;2096;;2451,84;113435;50584;164019;;7,74;358;7098;7456;;5,82;269;6664;6933;;2,24;104;780;883;;0,20;9;578;587;;612,45;28335;20589;48924;;102,92;4762;101872;106633;;382,48;17695;4157;21852;;103,72;4798;46591;51390;;31,79;1471;813;2284;;3,17;147;932;1079;;281,61;13029;19941;32969;;125,72;5817;45647;51464;;310,25;14354;75336;89690;
2011-06-30;279,99;13553;11232;24785;;227,49;11011;17825;28837;;39,89;1931;15905;17836;;0,00;0;16427;16427;;13,87;671;527;1199;;12,57;608;42611;43219;;66,55;3221;85190;88412;;0,25;12;213;226;;49,14;2379;8365;10744;;2435,41;117882;60253;178135;;3400,95;164617;66005;230622;;111,51;5397;1433;6830;;3,08;149;53445;53594;;6,00;291;1875;2166;;2451,84;118677;48091;166768;;7,74;374;7488;7862;;5,82;282;6731;7013;;2,24;108;918;1027;;0,20;9;529;538;;612,45;29645;20713;50357;;102,92;4982;104139;109120;;382,48;18513;3250;21764;;103,72;5020;49782;54802;;31,79;1539;842;2380;;3,17;154;926;1080;;281,61;13631;20268;33899;;125,72;6085;44844;50930;;310,25;15017;79663;94680;
2011-09-30;279,99;14583;11044;25627;;227,46;11847;17753;29600;;39,89;2078;15538;17615;;0,00;0;15442;15442;;13,87;723;569;1292;;12,45;649;40055;40703;;66,55;3466;86203;89669;;0,25;13;205;218;;49,14;2560;8180;10740;;2435,41;126848;51817;178664;;3400,95;177137;66865;244002;;111,57;5811;1457;7268;;3,08;160;52344;52504;;6,00;313;1806;2119;;2451,84;127703;49174;176877;;7,74;403;7406;7809;;5,82;303;7050;7353;;2,24;117;892;1008;;0,20;10;463;473;;612,45;31899;20356;52255;;102,92;5360;94943;100304;;382,48;19921;2499;22421;;103,72;5402;45470;50872;;31,79;1656;833;2489;;3,17;165;860;1025;;281,61;14667;22470;37138;;125,72;6548;43695;50243;;310,25;16160;78949;95108;
2011-12-31;279,99;13782;10987;24769;;227,46;11196;17918;29114;;39,90;1964;15252;17216;;0,00;0;14484;14484;;13,87;683;504;1187;;12,45;613;39670;40283;;66,55;3276;81680;84955;;0,25;12;195;207;;49,14;2419;7857;10276;;2435,41;119879;48612;168490;;3396,29;167176;66928;234104;;111,63;5495;1249;6743;;3,08;151;48681;48832;;6,00;295;1399;1695;;2451,84;120687;49185;169872;;7,74;381;5997;6378;;5,82;286;7915;8202;;2,24;110;901;1011;;0,31;15;500;515;;612,45;30147;20264;50411;;102,92;5066;92646;97712;;382,48;18827;1975;20801;;103,72;5105;42939;48044;;31,79;1565;853;2418;;3,17;156;831;987;;281,61;13862;32843;46705;;125,72;6188;44025;50214;;310,25;15272;79272;94544;
2012-03-31;279,99;14966;11492;26458;;227,46;12158;18360;30518;;39,91;2133;15485;17618;;0,00;0;15135;15135;;13,87;741;474;1216;;12,27;656;42383;43038;;66,55;3557;83109;86666;;0,25;13;270;283;;49,14;2627;8195;10821;;2435,41;130175;49154;179330;;3396,29;181535;67895;249430;;111,69;5970;1294;7264;;3,08;164;46119;46284;;6,00;321;1395;1716;;2451,84;131053;49492;180546;;7,74;413;6745;7158;;5,82;311;7674;7985;;2,24;120;927;1047;;0,31;17;668;685;;612,45;32736;21029;53765;;102,92;5501;94212;99713;;382,48;20444;2050;22493;;103,72;5544;46193;51737;;31,79;1699;817;2516;;3,17;170;778;947;;281,61;15052;33008;48060;;125,72;6720;45119;51839;;310,25;16583;82432;99016;
2012-06-30;279,99;14390;11500;25890;;227,46;11690;18203;29892;;39,91;2051;15441;17492;;0,00;0;14624;14624;;13,87;713;537;1250;;12,26;630;38847;39477;;66,55;3420;83755;87176;;0,25;13;256;269;;49,14;2526;8408;10934;;2435,41;125164;49552;174716;;3395,54;174508;68173;242682;;111,75;5743;1239;6982;;3,08;158;44598;44757;;6,00;309;1373;1682;;2451,84;126008;50622;176630;;7,74;398;6111;6509;;5,82;299;6564;6863;;2,24;115;882;997;;0,31;16;677;693;;612,45;31476;20824;52300;;102,92;5289;96160;101449;;382,48;19657;2216;21872;;103,72;5330;41473;46803;;31,79;1634;806;2439;;3,17;163;776;939;;281,61;14473;37947;52420;;125,72;6461;44915;51376;;310,25;15945;84369;100314;
2012-09-30;279,99;15988;12127;28115;;227,46;12988;18681;31669;;39,92;2279;17764;20044;;0,00;0;14728;14728;;13,87;792;463;1255;;11,58;661;39927;40589;;66,55;3800;86016;89816;;0,25;14;286;301;;49,14;2806;8615;11421;;2435,41;139063;50877;189940;;3395,54;193886;68473;262359;;111,82;6385;1279;7664;;3,08;176;44584;44759;;6,00;343;1398;1741;;2451,84;140000;51248;191248;;7,74;442;6487;6928;;5,82;332;7851;8183;;2,24;128;895;1022;;0,31;18;706;724;;612,45;34971;22235;57206;;102,92;5877;99852;105729;;382,48;21839;2213;24052;;103,72;5922;41964;47886;;31,79;1815;821;2636;;3,17;181;802;983;;281,61;16080;35842;51922;;125,72;7179;45269;52448;;310,25;17716;87899;105615;
2012-12-31;279,99;14921;12232;27153;;227,46;12121;18600;30721;;39,93;2128;18371;20499;;0,00;0;14807;14807;;13,87;739;449;1188;;11,58;617;44265;44882;;66,55;3546;86138;89684;;0,25;13;287;301;;49,14;2619;8453;11072;;2435,38;129782;54231;184013;;3391,34;180726;67422;248148;;111,88;5962;1270;7232;;3,08;164;44506;44670;;6,00;320;1386;1706;;2451,84;130659;50499;181158;;7,74;412;7111;7523;;5,82;310;8218;8528;;2,24;119;871;990;;0,31;17;688;705;;612,45;32638;22050;54688;;102,92;5485;103396;108881;;382,48;20382;2196;22578;;103,72;5527;41162;46690;;31,79;1694;818;2512;;3,17;169;782;951;;281,61;15007;35523;50530;;125,72;6700;45519;52219;;310,25;16534;88596;105130;
2013-03-31;279,99;14387;11766;26153;;227,43;11686;17688;29375;;39,94;2052;16509;18561;;0,00;0;14452;14452;;13,87;713;400;1113;;11,37;584;43892;44476;;66,55;3420;79340;82760;;0,25;13;308;321;;49,14;2525;8370;10895;;2435,41;125145;52613;177758;;3391,34;174265;66579;240844;;111,97;5754;1223;6977;;3,08;158;45311;45469;;6,00;308;1354;1663;;2451,84;125988;49938;175926;;7,74;397;7026;7423;;5,82;299;6911;7210;;2,24;115;852;967;;0,31;16;607;623;;612,45;31471;21700;53171;;102,92;5288;103568;108856;;382,48;19654;2167;21821;;103,72;5330;41274;46603;;31,79;1633;855;2488;;3,17;163;676;839;;281,61;14471;36280;50750;;125,72;6460;59657;66117;;310,25;15943;88371;104313;
2013-06-30;279,99;10730;11832;22562;;227,43;8716;18010;26726;;39,96;1531;17536;19067;;0,00;0;15694;15694;;13,87;532;324;856;;11,04;423;43196;43619;;66,55;2550;82385;84935;;0,25;10;255;265;;49,14;1883;8001;9884;;2435,38;93334;51355;144688;;3390,56;129940;66115;196055;;112,03;4294;1333;5627;;3,08;118;44680;44798;;6,00;230;1363;1593;;2451,84;93964;50760;144724;;7,74;296;7237;7534;;5,82;223;7077;7300;;2,24;86;848;934;;0,31;12;572;584;;612,45;23472;21642;45114;;102,92;3944;102922;106866;;382,48;14658;2753;17411;;103,72;3975;42180;46155;;31,79;1218;1089;2307;;3,17;122;722;844;;281,61;10792;35453;46246;;125,72;4818;60641;65459;;310,25;11890;90158;102049;
2013-09-30;279,99;11941;12259;24200;;227,43;9699;18203;27902;;39,97;1705;18455;20160;;0,00;0;15809;15809;;13,87;592;383;974;;10,85;463;45326;45789;;66,55;2838;85115;87953;;0,25;11;269;280;;49,14;2096;8237;10333;;2435,38;103865;54598;158463;;3390,56;144602;65670;210271;;112,10;4781;1344;6125;;3,08;131;41475;41606;;6,00;256;1394;1650;;2451,84;104567;51272;155839;;7,74;330;7445;7775;;5,82;248;7743;7991;;2,24;96;861;956;;0,31;13;569;582;;612,45;26120;22106;48226;;102,92;4389;102442;106831;;382,48;16312;2923;19235;;103,72;4423;44651;49074;;31,79;1356;853;2208;;3,17;135;834;969;;281,61;12010;35605;47616;;125,72;5362;61112;66474;;310,25;13232;93284;106516;
2013-12-31;279,99;10843;12474;23317;;227,43;8807;18139;26946;;39,99;1549;18335;19883;;0,00;0;17767;17767;;13,87;537;379;916;;10,85;420;55798;56218;;66,55;2577;86099;88677;;0,25;10;305;314;;49,14;1903;9369;11272;;2435,38;94312;50849;145161;;3387,14;131170;67365;198535;;112,16;4343;1420;5763;;3,08;119;46389;46508;;6,00;232;1403;1636;;2451,84;94950;50775;145725;;7,74;300;7596;7895;;5,82;225;7847;8073;;2,24;87;876;963;;0,31;12;585;597;;612,45;23718;22591;46309;;102,92;3986;102236;106221;;382,48;14812;2778;17589;;103,72;4017;44811;48828;;31,79;1231;922;2153;;3,17;123;799;922;;281,61;10906;35430;46335;;125,72;4869;60495;65363;;310,25;12015;92404;104419;
2014-03-31;279,99;11628;12555;24183;;227,43;9445;18070;27515;;40,00;1661;17581;19243;;0,00;0;16619;16619;;13,87;576;331;907;;10,72;445;57058;57503;;66,55;2764;84074;86838;;0,25;10;367;378;;49,14;2041;9390;11431;;2435,38;101144;53150;154294;;3386,36;140639;66792;207431;;112,22;4661;2855;7516;;3,08;128;49628;49756;;6,00;249;1408;1658;;2451,84;101827;50863;152690;;6,62;275;3257;3533;;5,82;242;7367;7608;;2,24;93;864;957;;0,31;13;941;954;;612,45;25436;21882;47318;;102,92;4274;98560;102834;;382,48;15885;3077;18961;;103,72;4307;43136;47443;;31,79;1320;940;2260;;3,17;132;1025;1156;;281,61;11696;35435;47130;;125,72;5221;61814;67036;;310,25;12885;97272;110158;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Source IMF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
